ID,IsEdible,Odor,Surface
126,Poisonous,Foul,Scaly
127,Poisonous,Foul,Fibrous
128,Poisonous,Spicy,Smooth
129,Edible,None,Fibrous
130,Poisonous,Foul,Smooth
131,Edible,Anise,Scaly
132,Edible,None,Scaly
133,Poisonous,Pungent,Scaly
134,Edible,None,Scaly
135,Edible,None,Fibrous
136,Poisonous,Pungent,Smooth
137,Edible,None,Scaly
138,Edible,Anise,Scaly
139,Edible,None,Fibrous
140,Poisonous,Spicy,Smooth
141,Edible,None,Fibrous
142,Poisonous,Foul,Smooth
143,Edible,None,Fibrous
144,Poisonous,Foul,Scaly
145,Edible,None,Fibrous
146,Edible,None,Scaly
147,Poisonous,Foul,Fibrous
148,Poisonous,Foul,Scaly
149,Poisonous,Foul,Fibrous
150,Edible,None,Fibrous
151,Edible,Anise,Scaly
152,Poisonous,Creosote,Fibrous
153,Poisonous,Fishy,Smooth
154,Edible,None,Scaly
155,Edible,None,Smooth
156,Edible,Anise,Smooth
157,Poisonous,Spicy,Scaly
158,Poisonous,Foul,Fibrous
159,Poisonous,Foul,Fibrous
160,Edible,None,Fibrous
161,Poisonous,Foul,Scaly
162,Edible,None,Scaly
163,Poisonous,Foul,Scaly
164,Poisonous,Foul,Scaly
165,Edible,None,Smooth
166,Edible,Almond,Scaly
167,Poisonous,Foul,Scaly
168,Poisonous,Foul,Smooth
169,Edible,Anise,Scaly
170,Edible,None,Scaly
171,Edible,None,Scaly
172,Edible,None,Scaly
173,Poisonous,Fishy,Smooth
174,Edible,Almond,Scaly
175,Poisonous,Fishy,Smooth
176,Edible,None,Smooth
177,Edible,Almond,Scaly
178,Edible,None,Scaly
179,Poisonous,Foul,Scaly
180,Poisonous,Fishy,Smooth
181,Edible,Almond,Scaly
182,Poisonous,Foul,Scaly
183,Edible,None,Fibrous
184,Edible,None,Scaly
185,Edible,None,Smooth
186,Poisonous,Foul,Smooth
187,Poisonous,Foul,Scaly
188,Edible,Almond,Scaly
189,Poisonous,Fishy,Scaly
190,Poisonous,Foul,Fibrous
191,Edible,None,Fibrous
192,Edible,None,Smooth
193,Poisonous,Foul,Fibrous
194,Poisonous,Fishy,Smooth
195,Edible,Almond,Scaly
196,Poisonous,Foul,Smooth
197,Poisonous,Foul,Scaly
198,Poisonous,Fishy,Scaly
199,Edible,None,Fibrous
200,Poisonous,Foul,Scaly
