"Country","LifeExpectancy","FertilityRate","Population","Region"
"Italy",79.6,1.21,"57,147,081","Europe & Central Asia"
"Jamaica",72.7,2.63,"2600095","America"
"Japan",81.1,1.34,"125,714,674","East Asia & Pacific"
"Jordan",73.1,4.16,"4767476","Middle East & North Africa"
"Kazakhstan",63.6,1.94,"14956769","Europe & Central Asia"
"Kenya",57.4,5.03,"31065820","Sub-Saharan Africa"
"Kiribati",59.5,4.01,"84406","East Asia & Pacific"
"Kuwait",77.5,2.9,"1929470","Middle East & North Africa"
"Latvia",70.1,1.17,"2371481","Europe & Central Asia"
"Lebanon",76.2,2.31,"3235380","Middle East & North Africa"
"Lesotho",49.8,4.2,"1856225","Sub-Saharan Africa"
"Liberia",55.9,5.95,"2891968","Sub-Saharan Africa"
"Libya",74.6,3.14,"5337264","Middle East & North Africa"
"Lithuania",72,1.38,"3486373","Europe & Central Asia"
"Luxembourg",78.2,1.71,"436107","Europe & Central Asia"
"Macao, China",79.538,1,"431907","East Asia & Pacific"
"Macedonia, FYR",73.9,1.73,"2012051","Europe & Central Asia"
"Madagascar",60.5,5.65,"15744811","Sub-Saharan Africa"
"Malawi",46.3,6.32,"11193230","Sub-Saharan Africa"
"Malaysia",73.8,2.96,"23420751","East Asia & Pacific"
"Maldives",72.6,3.51,"280384","South Asia"
"Mali",51.1,6.85,"11046926","Sub-Saharan Africa"
"Malta",79.7,1.67,"387180","Europe & Central Asia"
"Martinique",80.475,1.92,"387018","America"
"Mauritania",61.8,5.44,"2711421","Sub-Saharan Africa"
"Mauritius",71,2.02,"1185143","Sub-Saharan Africa"
"Mayotte",78.291,4.64,"150329","Sub-Saharan Africa"
"Mexico",75.1,2.71,"102808590","America"
"Micronesia, Fed. Sts.",64.5,4.39,"107430","East Asia & Pacific"
"Moldova",69.3,1.61,"4201088","Europe & Central Asia"
"Mongolia",61.4,2.22,"2397438","East Asia & Pacific"
"Montenegro",72,1.82,"613557","Europe & Central Asia"
"Morocco",71.3,2.8,"28950553","Middle East & North Africa"
"Mozambique",53.6,5.81,"18264536","Sub-Saharan Africa"
"Myanmar",61.4,2.51,"47669791","East Asia & Pacific"
"Namibia",55,4.13,"1897953","Sub-Saharan Africa"
"Nepal",64.9,4.21,"23740145","South Asia"
"Netherlands",78.1,1.65,"15,894,016","Europe & Central Asia"
"Netherlands Antilles",76.363,2.11,"180106","America"
"New Caledonia",75.466,2.46,"209997","East Asia & Pacific"
"New Zealand",78.5,2,"3858234","East Asia & Pacific"
"Nicaragua",73.9,3.38,"5026792","America"
"Niger",53,7.74,"11224523","Sub-Saharan Africa"
"Nigeria",55.8,6.13,"122876723","Sub-Saharan Africa"
"Norway",78.7,1.85,"4,491,572","Europe & Central Asia"
"Oman",73.7,3.99,"2239403","Middle East & North Africa"
"Pakistan",62.6,4.67,"138250487","South Asia"
"Panama",76.9,2.84,"3028751","America"
"Papua New Guinea",56.9,4.56,"5374051","East Asia & Pacific"
"Paraguay",74.1,3.76,"5302703","America"
"Peru",74.3,2.99,"25914875","America"
"Philippines",69,3.85,"77932247","East Asia & Pacific"
"Poland",73.8,1.39,"38486305","Europe & Central Asia"
"Portugal",76.7,1.47,"10,278,542","Europe & Central Asia"
"Puerto Rico",78.148,1.93,"3796981","America"
"Qatar",77.2,3.33,"593453","Middle East & North Africa"
"Reunion",78.615,2.36,"736711","Sub-Saharan Africa"
"Romania",70.8,1.28,"22128139","Europe & Central Asia"
"Russia",65.4,1.16,"146400951","Europe & Central Asia"
"Rwanda",50,6,"8021875","Sub-Saharan Africa"
"Samoa",69.9,4.54,"174614","East Asia & Pacific"
"Sao Tome and Principe",65.3,4.73,"137164","Sub-Saharan Africa"
"Saudi Arabia",76.1,4.19,"21392273","Middle East & North Africa"
"Senegal",60,5.65,"9860578","Sub-Saharan Africa"
"Serbia",74.7,1.68,"9463306","Europe & Central Asia"
"Seychelles",70.9,2.16,"81154","Sub-Saharan Africa"
"Sierra Leone",52.2,5.99,"4060709","Sub-Saharan Africa"
"Singapore",78.6,1.47,"3918183","East Asia & Pacific"
"Slovak Republic",73.3,1.32,"5386065","Europe & Central Asia"
"Slovenia",75.8,1.22,"1988652","Europe & Central Asia"
"Solomon Islands",61.7,4.79,"412336","East Asia & Pacific"
"Somalia",54.3,7.65,"7385416","Sub-Saharan Africa"
"South Africa",57.1,2.9,"44896856","Sub-Saharan Africa"
"Spain",79.3,1.21,"40749800","Europe & Central Asia"
"Sri Lanka",72.4,2.24,"18,783,745","South Asia"
"Sudan",64.4,5.52,"28079664","Sub-Saharan Africa"
"Suriname",68.8,2.76,"480751","America"
"Swaziland",48.7,4.31,"1063715","Sub-Saharan Africa"
"Sweden",79.7,1.51,"8872284","Europe & Central Asia"
"Switzerland",80,1.45,"7,165,581","Europe & Central Asia"
"Syria",73.8,4.07,"16,354,050","Middle East & North Africa"
"Taiwan",76,1.56,"22175667","East Asia & Pacific"
"Tajikistan",66.3,4.08,"6186152","Europe & Central Asia"
"Tanzania",54.8,5.71,"33991590","Sub-Saharan Africa"
"Thailand",71.3,1.71,"62693322","East Asia & Pacific"
"Timor-Leste",63.6,7.08,"847185","East Asia & Pacific"
"Togo",59,5.36,"4874735","Sub-Saharan Africa"
"Tonga",69.1,4.27,"97898","East Asia & Pacific"
"Trinidad and Tobago",69.4,1.77,"1267980","America"
"Tunisia",75,2.18,"9699192","Middle East & North Africa"
"Turkey",71.5,2.51,"63240157","Europe & Central Asia"
"Turkmenistan",63.1,2.91,"4501419","Europe & Central Asia"
"Uganda",50,6.9,"23757636","Sub-Saharan Africa"
"Ukraine",67.5,1.16,"48746269","Europe & Central Asia"
"United Arab Emirates",73.8,2.77,"3050128","Middle East & North Africa"
"United Kingdom",77.8,1.69,"58867004","Europe & Central Asia"
"United States",77.1,2.01,"282,895,741","America"
"Uruguay",74.6,2.27,"3,321,242","America"
"Uzbekistan",67.4,2.86,"24518222","Europe & Central Asia"
"Vanuatu",63,4.46,"185058","East Asia & Pacific"
"Venezuela",74.3,2.87,"24481477","America"
"Vietnam",72.6,2.06,"80285563","East Asia & Pacific"
"Virgin Islands (U.S.)",79.247,2.13,"108511","America"
"West Bank and Gaza",73.5,5.57,"3223781","Middle East & North Africa"
"Western Sahara",66.507,3.04,"305615","Middle East & North Africa"
"Zambia",45.7,6.1,"10585220","Sub-Saharan Africa"
"Zimbabwe",50.8,4.11,"12499981","Sub-Saharan Africa"
